matrix size: 34 	 crout: 0.008000373840332031[s] 	 doolittle: 0.01600193977355957[s] 	 cholesky: 0.009000539779663086[s] 	 numpy: 0.0009975433349609375[s] 	 scipy: 0.001001119613647461[s]
matrix size: 79 	 crout: 0.04500174522399902[s] 	 doolittle: 0.10302519798278809[s] 	 cholesky: 0.06097269058227539[s] 	 numpy: 0.004000663757324219[s] 	 scipy: 0.003998279571533203[s]
matrix size: 82 	 crout: 0.05100131034851074[s] 	 doolittle: 0.11399984359741211[s] 	 cholesky: 0.06799983978271484[s] 	 numpy: 0.0030007362365722656[s] 	 scipy: 0.003999471664428711[s]
matrix size: 66 	 crout: 0.026999711990356445[s] 	 doolittle: 0.06399989128112793[s] 	 cholesky: 0.0409998893737793[s] 	 numpy: 0.002999544143676758[s] 	 scipy: 0.0019998550415039062[s]
matrix size: 38 	 crout: 0.00997304916381836[s] 	 doolittle: 0.018004655838012695[s] 	 cholesky: 0.01299595832824707[s] 	 numpy: 0.0009970664978027344[s] 	 scipy: 0.002001047134399414[s]
matrix size: 99 	 crout: 0.07299995422363281[s] 	 doolittle: 0.20102858543395996[s] 	 cholesky: 0.10397124290466309[s] 	 numpy: 0.0030014514923095703[s] 	 scipy: 0.004998683929443359[s]
matrix size: 50 	 crout: 0.015998363494873047[s] 	 doolittle: 0.031001567840576172[s] 	 cholesky: 0.021999120712280273[s] 	 numpy: 0.0020008087158203125[s] 	 scipy: 0.0019998550415039062[s]
matrix size: 76 	 crout: 0.03800010681152344[s] 	 doolittle: 0.08899974822998047[s] 	 cholesky: 0.05599856376647949[s] 	 numpy: 0.003000497817993164[s] 	 scipy: 0.0030002593994140625[s]
matrix size: 93 	 crout: 0.06399965286254883[s] 	 doolittle: 0.15200114250183105[s] 	 cholesky: 0.09000039100646973[s] 	 numpy: 0.004998922348022461[s] 	 scipy: 0.002998828887939453[s]
matrix size: 79 	 crout: 0.042999982833862305[s] 	 doolittle: 0.09800052642822266[s] 	 cholesky: 0.05899953842163086[s] 	 numpy: 0.003999948501586914[s] 	 scipy: 0.003000020980834961[s]
matrix size: 32 	 crout: 0.005999326705932617[s] 	 doolittle: 0.012001276016235352[s] 	 cholesky: 0.008998394012451172[s] 	 numpy: 0.0010004043579101562[s] 	 scipy: 0.0010013580322265625[s]
matrix size: 32 	 crout: 0.005999088287353516[s] 	 doolittle: 0.011999368667602539[s] 	 cholesky: 0.009000539779663086[s] 	 numpy: 0.0009989738464355469[s] 	 scipy: 0.002001047134399414[s]
matrix size: 99 	 crout: 0.09100031852722168[s] 	 doolittle: 0.175065279006958[s] 	 cholesky: 0.10399961471557617[s] 	 numpy: 0.0030002593994140625[s] 	 scipy: 0.005000114440917969[s]
matrix size: 20 	 crout: 0.0019998550415039062[s] 	 doolittle: 0.004000663757324219[s] 	 cholesky: 0.0029981136322021484[s] 	 numpy: 0.0[s] 	 scipy: 0.001003265380859375[s]
matrix size: 76 	 crout: 0.03999662399291992[s] 	 doolittle: 0.09100079536437988[s] 	 cholesky: 0.05700063705444336[s] 	 numpy: 0.0030012130737304688[s] 	 scipy: 0.003000020980834961[s]
matrix size: 42 	 crout: 0.011998414993286133[s] 	 doolittle: 0.021000146865844727[s] 	 cholesky: 0.014000415802001953[s] 	 numpy: 0.0010006427764892578[s] 	 scipy: 0.0010018348693847656[s]
matrix size: 66 	 crout: 0.0280001163482666[s] 	 doolittle: 0.06199932098388672[s] 	 cholesky: 0.0409998893737793[s] 	 numpy: 0.0020012855529785156[s] 	 scipy: 0.002998828887939453[s]
matrix size: 67 	 crout: 0.04200005531311035[s] 	 doolittle: 0.06400203704833984[s] 	 cholesky: 0.041997671127319336[s] 	 numpy: 0.0030007362365722656[s] 	 scipy: 0.0030007362365722656[s]
matrix size: 41 	 crout: 0.011000871658325195[s] 	 doolittle: 0.022999286651611328[s] 	 cholesky: 0.013999700546264648[s] 	 numpy: 0.0010004043579101562[s] 	 scipy: 0.0019991397857666016[s]
matrix size: 49 	 crout: 0.014000654220581055[s] 	 doolittle: 0.030999183654785156[s] 	 cholesky: 0.01900029182434082[s] 	 numpy: 0.0019998550415039062[s] 	 scipy: 0.002001047134399414[s]
matrix size: 89 	 crout: 0.056001901626586914[s] 	 doolittle: 0.13400030136108398[s] 	 cholesky: 0.07900094985961914[s] 	 numpy: 0.003997325897216797[s] 	 scipy: 0.0039997100830078125[s]
matrix size: 81 	 crout: 0.04600095748901367[s] 	 doolittle: 0.10600042343139648[s] 	 cholesky: 0.06499981880187988[s] 	 numpy: 0.0039997100830078125[s] 	 scipy: 0.003999233245849609[s]
matrix size: 80 	 crout: 0.04500007629394531[s] 	 doolittle: 0.10399985313415527[s] 	 cholesky: 0.06099987030029297[s] 	 numpy: 0.003000497817993164[s] 	 scipy: 0.003000974655151367[s]
matrix size: 68 	 crout: 0.03000044822692871[s] 	 doolittle: 0.0670006275177002[s] 	 cholesky: 0.0429995059967041[s] 	 numpy: 0.0019989013671875[s] 	 scipy: 0.003001689910888672[s]
matrix size: 30 	 crout: 0.005000114440917969[s] 	 doolittle: 0.010998010635375977[s] 	 cholesky: 0.00800180435180664[s] 	 numpy: 0.0009989738464355469[s] 	 scipy: 0.0019989013671875[s]
matrix size: 28 	 crout: 0.004001617431640625[s] 	 doolittle: 0.009000301361083984[s] 	 cholesky: 0.006000518798828125[s] 	 numpy: 0.00099945068359375[s] 	 scipy: 0.00099945068359375[s]
matrix size: 70 	 crout: 0.03200078010559082[s] 	 doolittle: 0.07299947738647461[s] 	 cholesky: 0.04599881172180176[s] 	 numpy: 0.003000974655151367[s] 	 scipy: 0.003000020980834961[s]
matrix size: 92 	 crout: 0.059999704360961914[s] 	 doolittle: 0.14699935913085938[s] 	 cholesky: 0.09400105476379395[s] 	 numpy: 0.003998756408691406[s] 	 scipy: 0.004001140594482422[s]
matrix size: 90 	 crout: 0.059000492095947266[s] 	 doolittle: 0.13899970054626465[s] 	 cholesky: 0.0839986801147461[s] 	 numpy: 0.004999876022338867[s] 	 scipy: 0.0040013790130615234[s]
matrix size: 96 	 crout: 0.069000244140625[s] 	 doolittle: 0.16105318069458008[s] 	 cholesky: 0.0969994068145752[s] 	 numpy: 0.002999544143676758[s] 	 scipy: 0.0040187835693359375[s]
matrix size: 62 	 crout: 0.0260007381439209[s] 	 doolittle: 0.059027910232543945[s] 	 cholesky: 0.03497028350830078[s] 	 numpy: 0.003000020980834961[s] 	 scipy: 0.0020012855529785156[s]
matrix size: 64 	 crout: 0.024999141693115234[s] 	 doolittle: 0.05800127983093262[s] 	 cholesky: 0.037999868392944336[s] 	 numpy: 0.0020003318786621094[s] 	 scipy: 0.0029993057250976562[s]
matrix size: 93 	 crout: 0.08799934387207031[s] 	 doolittle: 0.1510016918182373[s] 	 cholesky: 0.09199714660644531[s] 	 numpy: 0.004002571105957031[s] 	 scipy: 0.003998279571533203[s]
matrix size: 73 	 crout: 0.03600168228149414[s] 	 doolittle: 0.08199858665466309[s] 	 cholesky: 0.05099987983703613[s] 	 numpy: 0.0019981861114501953[s] 	 scipy: 0.0030019283294677734[s]
matrix size: 68 	 crout: 0.03200030326843262[s] 	 doolittle: 0.06799840927124023[s] 	 cholesky: 0.043000221252441406[s] 	 numpy: 0.003002643585205078[s] 	 scipy: 0.00299835205078125[s]
